Item,CH108_8_C(1)(1),CH108_Time_SEC(1)(1),CH116_16_C(1)(1),CH116_Time_SEC(1)(1),
1,30.2125359,0,30.3713017,0.086,
2,30.2524586,0.167,30.3907776,0.248,
3,30.2854233,0.329,30.3998203,0.41,
4,30.274435,0.491,30.3724136,0.572,
5,30.2619171,0.678,30.3775616,0.759,
6,30.2862587,0.84,30.3612843,0.921,
7,30.2609444,1.002,30.3838215,1.088,
8,30.2509289,1.278,30.3676834,1.359,
9,30.2699852,1.465,30.3721352,1.546,
10,30.2695675,1.629,30.3996811,1.757,
11,30.2288113,1.838,30.382988,1.919,
12,30.2588577,2,30.3725529,2.086,
13,30.259552,2.233,30.3682404,2.314,
14,30.2741585,2.395,30.3817348,2.476,
15,30.2779121,2.563,30.357666,2.649,
16,30.2434177,2.767,30.3757534,2.847,
17,30.2627525,2.954,30.3810406,3.04,
18,30.2520409,3.126,30.3845177,3.245,
19,30.2649784,3.326,30.3822918,3.407,
20,30.2521801,3.488,30.3600311,3.572,
21,30.249815,3.723,30.3909168,3.804,
22,30.2705402,3.885,30.3429184,3.971,
23,30.2521801,4.057,30.3811779,4.175,
24,30.2578831,4.256,30.369215,4.337,
25,30.2428608,4.448,30.3653183,4.535,
26,30.2687321,4.653,30.3750572,4.734,
27,30.2505112,4.815,30.3660145,4.896,
28,30.2627525,4.98,30.3745003,5.106,
29,30.2562141,5.212,30.3779793,5.293,
30,30.2473125,5.38,30.3553009,5.467,
31,30.2398014,5.586,30.3866043,5.667,
32,30.2626133,5.748,30.3527966,5.829,
33,30.2602482,6.045,30.378397,6.126,
34,30.2581615,6.207,30.3721352,6.293,
35,30.2677593,6.385,30.3706055,6.503,
36,30.2347927,6.584,30.3935604,6.665,
37,30.2416096,6.776,30.3402767,6.862,
38,30.2667866,6.98,30.3717175,7.061,
39,30.2793045,7.142,30.3580837,7.223,
40,30.2502327,7.314,30.382988,7.432,
41,30.2541275,7.538,30.37784,7.619,
42,30.2541275,7.705,30.3507099,7.79,
43,30.2467556,7.909,30.3820133,7.99,
44,30.2327061,8.071,30.3473721,8.152,
45,30.2414703,8.297,30.3678226,8.378,
46,30.2385483,8.459,30.3399982,8.54,
47,30.2485638,8.627,30.3615627,8.713,
48,30.2488422,8.833,30.3589191,8.914,
49,30.2460594,9.02,30.3572502,9.106,
50,30.2393837,9.192,30.361702,9.313,
51,30.2549629,9.394,30.3806229,9.475,
52,30.2541275,9.556,30.3443108,9.639,
53,30.252737,9.793,30.3786755,9.874,
54,30.2381306,9.955,30.3591976,10.041,
55,30.2307587,10.128,30.3660145,10.248,
56,30.2443905,10.329,30.3763084,10.41,
57,30.2360439,10.521,30.3604488,10.607,
58,30.2594128,10.728,30.3760319,10.809,
59,30.2528763,10.89,30.3746395,10.971,
60,30.2519016,11.055,30.3589191,11.184,
61,30.2556572,11.29,30.3447285,11.371,
62,30.2513466,11.452,30.3319283,11.535,
63,30.2452259,11.665,30.3788128,11.746,
64,30.243,11.827,30.3948116,11.908,
65,30.2178211,12.02,30.3566914,12.141,
66,30.239521,12.222,30.353075,12.303,
67,30.2489796,12.384,30.3836823,12.469,
68,30.2539883,12.589,30.3637314,12.67,
69,30.2229156,12.844,30.3441143,12.93,
70,30.2244453,13.018,30.3640099,13.139,
71,30.2441978,13.22,30.3564968,13.301,
72,30.2549095,13.382,30.3622017,13.468,
73,30.2307053,13.62,30.3690186,13.701,
74,30.2524052,13.782,30.3592796,13.863,
75,30.2403049,13.959,30.3559399,14.08,
76,30.2464237,14.161,30.3555241,14.242,
77,30.2668724,14.353,30.3603935,14.439,
78,30.2411385,14.561,30.364706,14.642,
79,30.2223587,14.724,30.3773651,14.805,
80,30.2571354,14.889,30.3654003,15,
