Item,CH102_2_C(1)(1),CH102_Time_SEC(1)(1),CH103_3_C(1)(1),CH103_Time_SEC(1)(1)
1,43.2291451,0,44.1844223,0.064
2,43.2656975,0.127,44.1981705,0.19
3,43.2654228,0.253,44.2032097,0.316
4,43.2505569,0.379,44.2079742,0.442
5,43.2639236,0.53,44.1968086,0.593
6,43.2711525,0.656,44.1780212,0.719
7,43.2562866,0.782,44.1848305,0.845
8,43.2879257,0.908,44.1924522,0.971
9,43.2483749,1.059,44.1645439,1.123
10,43.258606,1.191,44.198037,1.254
11,43.2700615,1.317,44.1796539,1.38
12,43.2733345,1.443,44.202256,1.507
13,43.2693787,1.596,44.2179115,1.66
14,43.2633781,1.723,44.217366,1.786
15,43.2887459,1.85,44.2060669,1.914
16,43.2665138,1.977,44.1893204,2.04
17,43.2832909,2.129,44.1992615,2.192
18,43.2677422,2.255,44.2002151,2.318
19,43.2834282,2.381,44.1859177,2.449
20,43.268425,2.59,44.1720322,2.806
21,43.2733345,2.944,44.1855095,3.007
22,43.261467,3.07,44.2032097,3.133
23,43.2667885,3.203,44.2106979,3.269
24,43.2539673,3.39,44.197625,3.459
25,43.2617416,3.547,44.2056587,3.61
26,43.2371902,3.673,44.2087906,3.737
27,43.2598305,3.801,44.199807,3.916
28,43.2606506,3.979,44.1977623,4.042
29,43.2536926,4.131,44.1848305,4.202
30,43.2536926,4.274,44.1882332,4.399
31,43.2742882,4.463,44.1774757,4.527
32,43.2602425,4.59,44.2180489,4.653
33,43.2427826,4.861,44.1906822,4.925
34,43.2528763,4.988,44.2018478,5.051
35,43.2569695,5.12,44.2028015,5.218
36,43.2602425,5.281,44.1761177,5.344
37,43.2542381,5.432,44.1968086,5.495
38,43.226963,5.56,44.1750267,5.63
39,43.2490578,5.754,44.1866005,5.817
40,43.267334,5.88,44.184964,5.943
41,43.2899742,6.034,44.1845558,6.1
42,43.2658348,6.203,44.1894577,6.272
43,43.2624245,6.335,44.1891869,6.398
44,43.2497406,6.462,44.174073,6.527
45,43.2646065,6.673,44.1659058,6.736
46,43.2494659,6.799,44.1846931,6.862
47,43.2512398,6.925,44.1879623,6.988
48,43.2468758,7.056,44.175164,7.16
49,43.2494659,7.253,44.1978996,7.316
50,43.260376,7.379,44.1780212,7.442
51,43.2573776,7.508,44.1804741,7.627
52,43.2550583,7.69,44.1827858,7.753
53,43.2704697,7.842,44.1806076,7.905
54,43.2441483,7.971,44.1778877,8.092
55,43.267334,8.155,44.199807,8.218
56,43.2455101,8.282,44.1803368,8.345
57,43.2437363,8.436,44.1883705,8.502
58,43.2340546,8.617,44.1732567,8.686
59,43.2412834,8.749,44.1661766,8.812
60,43.2498741,8.876,44.1796539,8.942
61,43.2461929,9.092,44.1746185,9.155
62,43.2565575,9.219,44.1799286,9.282
63,43.2449646,9.345,44.1799286,9.408
64,43.2292786,9.477,44.1740845,9.582
65,43.238018,9.677,44.171769,9.741
66,43.2191963,9.804,44.1751717,9.867
67,43.2301064,9.937,44.1763962,10.047
68,43.242382,10.116,44.1784294,10.179
69,43.2290344,10.335,44.1871422,10.402
70,43.2200317,10.514,44.1565102,10.577
71,43.2314911,10.64,44.1744812,10.703
72,43.211441,10.766,44.1622246,10.836
73,43.2193489,10.931,44.1757057,11.052
74,43.2010727,11.12,44.1627701,11.183
75,43.2250786,11.246,44.1529701,11.309
76,43.2186699,11.372,44.1565102,11.44
77,43.2073479,11.581,44.1626366,11.644
78,43.2122574,11.707,44.1544655,11.77
79,43.2149849,11.833,44.168763,11.897
80,43.2121201,12.016,44.1699875,12.079
81,43.196846,12.167,44.1526955,12.23
82,43.1799278,12.293,44.1502464,12.359
83,43.2291718,12.429,44.141259,12.534
84,43.1958885,12.603,44.1645401,12.667
85,43.2213974,12.755,44.1536491,12.818
86,43.2085762,12.893,44.1533745,13.009
87,43.2213974,13.078,44.144799,13.141
88,43.2272606,13.204,44.1509254,13.267
89,43.2287636,13.358,44.1333626,13.421
90,43.2257614,13.55,44.1593674,13.613
91,43.2351723,13.676,44.1408508,13.739
92,43.2254868,13.802,44.1526955,13.873
93,43.2107582,14.018,44.1697166,14.081
94,43.2368088,14.144,44.1364906,14.207
95,43.2103462,14.27,44.1415298,14.338
96,43.2174416,14.444,44.1475227,14.513
97,43.2286263,14.601,44.1450699,14.664
98,43.2335358,14.727,44.1630447,14.793
99,43.2294426,14.918,44.174073,14.981
100,43.2325821,15.044,44.168351,15.107
101,43.2177124,15.196,44.167672,15.262
102,43.2373543,15.326,44.1616791,15.442
103,43.2369423,15.505,44.1603172,15.568
104,43.2411728,15.632,44.1574715,15.696
105,43.2381516,15.92,44.1661842,15.984
106,43.232151,16.048,44.1561096,16.112
107,43.2337875,16.178,44.1426285,16.249
108,43.2346077,16.357,44.1723106,16.42
109,43.2391052,16.509,44.1377266,16.572
110,43.2444267,16.635,44.1424911,16.704
111,43.2191925,16.809,44.1684998,16.878
112,43.2370605,16.941,44.1479385,17.004
113,43.2260132,17.093,44.1332329,17.16
114,43.2181015,17.281,44.1512077,17.344
115,43.2456551,17.407,44.1546104,17.47
116,43.2467461,17.533,44.1607368,17.604
117,43.2444267,17.754,44.1494377,17.817
118,43.2133293,17.88,44.1503914,17.943
119,43.2258759,18.006,44.1423576,18.077
120,43.2275124,18.151,44.1457603,18.269
121,43.220829,18.357,44.1223419,18.42
122,43.2346077,18.484,44.1295555,18.555
123,43.1984596,18.628,44.1365021,18.746
124,43.2226028,18.809,44.1012352,18.872
125,43.2035065,18.961,44.1336411,19.027
126,43.2032318,19.093,44.1162117,19.199
127,43.1968231,19.267,44.1307838,19.33
128,43.1977768,19.394,44.1341866,19.457
129,43.1841354,19.55,44.1197517,19.673
